City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kapaa,22.0752,-159.319,24.18,72,40,9.26,US,1675926295
83,katsuura,35.1333,140.3,9.75,33,87,3.68,JP,1675926296
84,cape town,-33.9258,18.4232,25.06,64,0,3.09,ZA,1675926235
85,morros,-9.4467,-46.3003,21.99,78,14,1.07,BR,1675926296
86,hermanus,-34.4187,19.2345,24.33,69,0,5.39,ZA,1675926297
87,buraydah,26.326,43.975,11.25,30,100,3.05,SA,1675926297
88,sola,-13.8833,167.55,29.37,79,75,0.0,VU,1675925745
89,hithadhoo,-0.6,73.0833,27.48,71,100,3.48,MV,1675926298
90,hun,29.1268,15.9477,11.85,69,0,6.89,LY,1675926298
91,pedra branca,-5.4542,-39.7172,18.92,84,74,0.42,BR,1675926299
92,flin flon,54.7682,-101.865,-21.75,100,23,2.2,CA,1675926299
93,along,28.1667,94.7667,22.92,38,62,1.66,IN,1675926300
94,camabatela,-8.1881,15.375,20.42,69,25,0.47,AO,1675926300
95,krasnoselkup,65.7,82.4667,-16.45,93,100,6.08,RU,1675926301
96,victoria,22.2855,114.1577,23.86,77,93,4.47,HK,1675926148
97,nikolskoye,59.7035,30.7861,0.94,85,100,5.4,RU,1675926302
98,shimoda,34.6667,138.95,11.2,56,68,5.02,JP,1675926302
99,fortuna,40.5982,-124.1573,5.19,97,75,3.09,US,1675926303
100,taikang,46.8333,124.4167,-7.88,74,100,2.71,CN,1675926303
101,geraldton,-28.7667,114.6,30.23,45,8,8.75,AU,1675926158
102,merke,42.8728,73.1786,2.54,91,100,3.75,KZ,1675926027
103,debre birhan,9.6833,39.5333,14.4,37,6,2.4,ET,1675926304
104,thompson,55.7435,-97.8558,-14.91,78,100,3.09,CA,1675926297
105,mitu,1.1983,-70.1733,21.41,98,100,0.24,CO,1675926306
106,ancud,-41.8697,-73.8203,14.55,96,34,3.44,CL,1675926306
107,kralendijk,12.15,-68.2667,25.99,78,20,7.72,BQ,1675925759
108,bairiki,1.3292,172.9752,27.0,89,75,4.12,KI,1675926307
109,tiznit,29.5833,-9.5,8.69,56,82,2.26,MA,1675926308
110,yellowknife,62.456,-114.3525,-21.36,84,75,4.63,CA,1675926091
111,altay,47.8667,88.1167,-1.83,72,100,1.07,CN,1675926309
112,cabo san lucas,22.8909,-109.9124,19.17,40,100,2.23,MX,1675926291
113,razole,16.4833,81.8333,31.58,40,89,2.22,IN,1675926310
114,esperance,-33.8667,121.9,20.6,65,40,5.56,AU,1675926310
115,isangel,-19.55,169.2667,27.06,89,100,3.09,VU,1675926311
116,vila,42.0304,-8.1588,1.49,84,0,1.99,PT,1675926312
117,pacifica,37.6138,-122.4869,13.21,76,0,1.79,US,1675926169
118,namatanai,-3.6667,152.4333,28.5,70,100,2.81,PG,1675926313
119,tiksi,71.6872,128.8694,-39.74,99,64,2.2,RU,1675926313
120,beringovskiy,63.05,179.3167,-33.07,94,30,2.26,RU,1675926314
121,valdivia,-39.8142,-73.2459,10.05,97,22,0.36,CL,1675926314
122,arraial do cabo,-22.9661,-42.0278,22.92,94,0,3.09,BR,1675926314
123,miraflores,19.2167,-98.8083,14.93,61,98,0.97,MX,1675926015
124,kodiak,57.79,-152.4072,-6.27,45,0,3.6,US,1675926315
125,coquimbo,-29.9533,-71.3436,17.85,88,100,1.03,CL,1675926295
126,luderitz,-26.6481,15.1594,19.72,79,10,3.49,NA,1675926316
127,umm kaddadah,13.6017,26.6876,18.75,14,10,9.56,SD,1675925730
128,chuy,-33.6971,-53.4616,21.42,92,92,0.5,UY,1675926317
129,banos,-1.4,-78.4167,16.17,90,80,0.15,EC,1675926318
130,avarua,-21.2078,-159.775,26.03,78,100,1.54,CK,1675926318
131,murchison,-41.8,172.3333,16.2,58,5,1.07,NZ,1675926320
132,sao filipe,14.8961,-24.4956,20.09,79,34,4.3,CV,1675925751
133,qaqortoq,60.7167,-46.0333,-5.43,81,100,4.17,GL,1675926320
134,saint george,37.1041,-113.5841,9.33,39,0,5.81,US,1675926321
135,hilo,19.7297,-155.09,21.27,84,75,3.6,US,1675926243
136,sitka,57.0531,-135.33,4.94,60,100,9.77,US,1675926322
137,new norfolk,-42.7826,147.0587,20.5,49,100,0.89,AU,1675926322
138,karratha,-20.7377,116.8463,34.13,51,0,6.45,AU,1675926323
139,lorengau,-2.0226,147.2712,27.44,78,100,3.93,PG,1675926089
140,balkanabat,39.5108,54.3671,4.12,95,100,4.65,TM,1675926324
141,myanaung,18.2833,95.3167,34.13,13,100,1.05,MM,1675926324
142,ribeira grande,38.5167,-28.7,12.65,81,47,3.13,PT,1675926325
143,vao,-22.6667,167.4833,26.52,81,100,8.48,NC,1675926325
144,faya,18.3851,42.4509,19.29,40,29,0.62,SA,1675926326
145,faanui,-16.4833,-151.75,27.03,74,20,3.98,PF,1675926327
146,cozumel,20.5083,-86.9458,22.75,93,0,5.8,MX,1675926290
147,bambous virieux,-20.3428,57.7575,29.14,70,75,6.69,MU,1675926327
148,upernavik,72.7868,-56.1549,-35.15,98,37,4.09,GL,1675926123
149,tuatapere,-46.1333,167.6833,12.45,62,65,3.29,NZ,1675925775
150,longyearbyen,78.2186,15.6401,-7.09,73,75,4.12,SJ,1675926194
151,pierre,44.3683,-100.351,1.82,78,100,3.58,US,1675926079
152,potosi,-19.5836,-65.7531,4.78,96,100,3.75,BO,1675926329
153,pudozh,61.8099,36.5345,0.72,89,100,6.04,RU,1675926330
154,ajtos,42.7,27.25,-4.32,77,98,4.89,BG,1675926330
155,cidreira,-30.1811,-50.2056,24.06,89,18,7.94,BR,1675926331
156,sunrise manor,36.2111,-115.0731,14.62,36,0,3.09,US,1675926333
157,acarau,-2.8856,-40.12,24.58,84,31,3.99,BR,1675926333
158,port elizabeth,-33.918,25.5701,21.16,98,100,2.06,ZA,1675926334
159,bambanglipuro,-7.95,110.2833,28.37,74,90,5.67,ID,1675926335
160,christchurch,-43.5333,172.6333,16.11,61,100,6.17,NZ,1675926092
161,pereira barreto,-20.6383,-51.1092,21.83,92,7,1.96,BR,1675926330
162,fare,-16.7,-151.0167,27.36,71,10,4.11,PF,1675926336
163,lebu,-37.6167,-73.65,13.92,94,1,4.27,CL,1675926336
164,avera,33.194,-82.5271,14.1,84,49,3.45,US,1675926337
165,mandalgovi,45.7625,106.2708,-5.88,57,9,4.74,MN,1675926337
166,maralal,1.0968,36.698,21.32,38,7,3.33,KE,1675926337
167,kaili,-3.4626,120.2147,23.28,86,100,0.82,ID,1675926338
168,whitianga,-36.8333,175.7,18.2,64,1,4.91,NZ,1675926338
169,key west,24.5557,-81.7826,28.0,69,20,7.72,US,1675926335
170,hoi an,15.8794,108.335,27.98,82,100,4.74,VN,1675926339
171,namikupa,-10.8333,39.6,26.13,83,100,2.87,TZ,1675926339
172,inta,66.0317,60.1659,-3.53,96,100,8.21,RU,1675926340
173,ghanzi,-21.5667,21.7833,22.42,72,98,2.62,BW,1675926340
174,pevek,69.7008,170.3133,-33.68,100,100,2.98,RU,1675926341
175,qaanaaq,77.484,-69.3632,-31.54,64,0,2.69,GL,1675926342
176,grand gaube,-20.0064,57.6608,29.22,76,15,4.47,MU,1675926342
177,oranjemund,-28.55,16.4333,19.75,83,21,2.08,NA,1675926342
178,betioky,-23.7167,44.3833,27.84,56,100,4.72,MG,1675926343
179,manokwari,-0.8667,134.0833,26.66,76,100,2.32,ID,1675926343
180,bardiyah,31.7561,25.0865,12.31,66,100,8.8,LY,1675926344
181,baykit,61.67,96.37,-13.82,90,100,1.2,RU,1675926344
182,chokurdakh,70.6333,147.9167,-31.63,97,100,2.0,RU,1675926345
183,thohoyandou,-22.9456,30.485,22.32,85,82,1.37,ZA,1675926345
184,lavrentiya,65.5833,-171.0,-25.79,97,100,1.3,RU,1675926346
185,dunedin,-45.8742,170.5036,13.93,54,44,7.09,NZ,1675926132
186,artigas,-30.4,-56.4667,23.35,59,100,4.28,UY,1675926346
187,guerrero negro,27.9769,-114.0611,14.85,56,6,2.15,MX,1675926347
188,half moon bay,37.4636,-122.4286,12.79,76,0,1.54,US,1675926347
189,mar del plata,-38.0023,-57.5575,18.38,97,0,1.54,AR,1675926333
190,severo-kurilsk,50.6789,156.125,-5.3,52,81,9.72,RU,1675926348
191,nouadhibou,20.931,-17.0347,16.79,71,100,3.56,MR,1675926348
192,zhengjiatun,43.5064,123.5064,-1.52,33,100,3.51,CN,1675926325
193,vila velha,-20.3297,-40.2925,22.97,96,20,2.06,BR,1675926349
194,cabadiangan,9.7531,122.4739,28.8,70,100,5.45,PH,1675926349
195,kavieng,-2.5744,150.7967,28.44,70,100,1.25,PG,1675926350
196,rangapara,26.8167,92.65,19.63,55,99,3.25,IN,1675926350
197,rawson,-43.3002,-65.1023,23.37,37,11,11.67,AR,1675925786
198,goderich,43.7501,-81.7165,1.18,80,100,2.57,CA,1675926351
199,lagoa,39.05,-27.9833,13.25,66,15,6.52,PT,1675926351
200,high prairie,55.4334,-116.4858,-8.0,86,61,2.03,CA,1675926304
201,poum,-20.2333,164.0167,27.6,80,100,6.19,NC,1675926352
